x,y,Height
44,32,35
44,34,40
44,36,25
44,38,20
44,40,100
44,42,110
44,44,50
44,46,20
44,48,60
44,50,95
46,0,50
46,2,55
46,4,65
46,6,135
46,8,35
46,10,45
46,12,5
46,14,35
46,16,55
46,18,110
46,20,140
46,22,5
46,24,10
46,26,25
46,28,35
46,30,40
46,32,15
46,34,80
46,36,15
46,38,20
46,40,15
46,42,25
46,44,55
46,46,20
46,48,100
46,50,20
48,0,100
48,2,75
48,4,30
48,6,30
48,8,30
48,10,110
48,12,45
48,14,30
48,16,40
48,18,130
48,20,125
48,22,25
48,24,15
48,26,35
48,28,85
48,30,55
48,32,110
48,34,20
48,36,20
48,38,20
48,40,15
48,42,30
48,44,10
48,46,85
48,48,15
48,50,20
50,0,10
50,2,15
50,4,40
50,6,25
50,8,45
50,10,35
50,12,15
50,14,35
50,16,20
50,18,70
50,20,20
50,22,25
50,24,105
50,26,105
50,28,20
50,30,20
50,32,70
50,34,20
50,36,50
50,38,70
50,40,20
50,42,10
50,44,20
50,46,15
50,48,10
50,50,30
